SN,Brand,Year,Fuel,Transmission,Engine,Max_Power,Torque,Seats,Mileage,KM_Driven,Owner,Seller_Type,Selling_Price
5074,Chevrolet Spark 1.0 LT,2011,Petrol,Manual,995 CC,62 bhp,90.3Nm@ 4200rpm,5,18.0 kmpl,70000,First Owner,Individual,165000
5075,Honda City 1.5 S MT,2011,Petrol,Manual,1497 CC,118 bhp,146Nm at 4800 rpm,5,17.0 kmpl,105000,First Owner,Individual,421000
5076,Hyundai Accent Executive,2012,Petrol,Manual,1495 CC,93.7 bhp,124.6Nm@ 3500rpm,5,16.36 kmpl,109322,Second Owner,Individual,225000
5077,Nissan Sunny Diesel XV,2013,Diesel,Manual,1461 CC,84.8 bhp,200Nm@ 2000rpm,5,21.64 kmpl,120000,First Owner,Individual,350000
5078,Jeep Compass 2.0 Limited,2018,Diesel,Manual,1956 CC,170 bhp,350Nm@ 1750-2500rpm,5,17.1 kmpl,24000,First Owner,Individual,1757000
5079,Maruti Baleno Zeta 1.3,2015,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,27.39 kmpl,70000,Second Owner,Individual,600000
5080,Tata Tiago NRG Petrol,2018,Petrol,Manual,1199 CC,83.81 bhp,114Nm@ 3500rpm,5,24.0 kmpl,35000,First Owner,Individual,515000
5081,Maruti 800 AC,1999,Petrol,Manual,796 CC,37 bhp,59Nm@ 2500rpm,4,16.1 kmpl,80000,Third Owner,Individual,80000
5082,Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2017,Diesel,Manual,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,23.65 kmpl,70000,Second Owner,Individual,800000
5083,Mahindra Scorpio 2.6 SLX Turbo 7 Seater,2004,Diesel,Manual,2179 CC,120 bhp,290Nm@ 1800-2800rpm,7,10.5 kmpl,100000,Fourth & Above Owner,Individual,120000
5084,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,Diesel,Automatic,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,13.6 kmpl,9000,First Owner,Dealer,2711000
5085,Lexus ES 300h,2019,Petrol,Automatic,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5,22.37 kmpl,20000,First Owner,Dealer,5150000
5086,Jaguar XF 2.0 Diesel Portfolio,2017,Diesel,Automatic,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,19.33 kmpl,45000,First Owner,Dealer,3200000
5087,Tata Safari Storme EX,2015,Diesel,Manual,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7,14.1 kmpl,110000,First Owner,Individual,503000
5088,Volvo XC40 D4 Inscription BSIV,2019,Diesel,Automatic,1969 CC,190 bhp,400Nm,5,18.0 kmpl,20000,First Owner,Individual,3800000
5089,Toyota Camry 2.5 Hybrid,2016,Petrol,Automatic,2494 CC,157.7 bhp,213Nm@ 4500rpm,5,19.16 kmpl,68089,First Owner,Trustmark Dealer,2000000
5090,Maruti Wagon R LXI,2013,Petrol,Manual,998 CC,67.05 bhp,90Nm@ 3500rpm,5,21.79 kmpl,58343,First Owner,Trustmark Dealer,225000
5091,Maruti Baleno Alpha 1.3,2018,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,27.39 kmpl,38817,First Owner,Dealer,740000
5092,Honda Jazz VX,2016,Petrol,Manual,1199 CC,88.7 bhp,110Nm@ 4800rpm,5,18.2 kmpl,56494,First Owner,Trustmark Dealer,550000
5093,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,Diesel,Manual,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7,12.99 kmpl,79328,Second Owner,Trustmark Dealer,750000
5094,Maruti Swift AMT VVT VXI,2019,Petrol,Automatic,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,22.0 kmpl,5621,First Owner,Trustmark Dealer,650000
5095,Toyota Etios VX,2017,Petrol,Manual,1496 CC,88.73 bhp,132Nm@ 3000rpm,5,16.78 kmpl,25538,First Owner,Trustmark Dealer,625000
5096,Maruti Swift AMT ZXI,2018,Petrol,Automatic,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,22.0 kmpl,69779,First Owner,Dealer,600000
5097,Hyundai Grand i10 1.2 CRDi Sportz,2017,Diesel,Manual,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5,24.0 kmpl,56290,First Owner,Dealer,450000
5098,BMW X4 M Sport X xDrive20d,2019,Diesel,Automatic,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,16.78 kmpl,7500,First Owner,Dealer,5400000
5099,BMW X4 M Sport X xDrive20d,2019,Diesel,Automatic,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,16.78 kmpl,8500,First Owner,Dealer,5500000
5100,Honda Amaze V CVT Petrol BSIV,2019,Petrol,Automatic,1199 CC,88.76 bhp,110Nm@ 4800rpm,5,19.0 kmpl,7032,First Owner,Trustmark Dealer,779000
5101,Skoda Rapid 1.6 MPI AT Elegance,2016,Petrol,Automatic,1598 CC,103.5 bhp,153Nm@ 3800rpm,5,14.3 kmpl,11000,First Owner,Dealer,645000
5102,Volvo V40 D3 R-Design,2018,Diesel,Automatic,1984 CC,150 bhp,350Nm@ 1500-2750rpm,5,16.8 kmpl,2000,First Owner,Dealer,2475000
5103,Maruti Wagon R Stingray VXI Optional,2017,Petrol,Manual,998 CC,67.04 bhp,90Nm@ 3500rpm,5,20.51 kmpl,40000,First Owner,Individual,475000
5104,Maruti Wagon R AMT VXI,2015,Petrol,Automatic,998 CC,67 bhp,90Nm@ 3500rpm,5,20.51 kmpl,20000,First Owner,Individual,400000
5105,Hyundai Santro Xing XG AT eRLX Euro II,2004,Petrol,Automatic,,,,,,90000,Second Owner,Individual,80000
5106,Fiat Grande Punto 1.3 Dynamic (Diesel),2011,Diesel,Manual,1248 CC,75 bhp,197Nm@ 1750rpm,5,20.3 kmpl,60000,First Owner,Individual,300000
5107,Mahindra Scorpio M2DI,2011,Diesel,Manual,2179 CC,115 bhp,277.5Nm@ 1700-2200rpm,5,13.5 kmpl,475000,Third Owner,Individual,400000
5108,Maruti Wagon R LX BSIII,2009,Petrol,Manual,1061 CC,64 bhp,"8.6@ 3,500(kgm@ rpm)",5,17.3 kmpl,,Second Owner,Individual,235000
5109,Maruti Wagon R VXI BS IV,2015,Petrol,Manual,998 CC,67.04 bhp,90Nm@ 3500rpm,5,20.51 kmpl,40000,Second Owner,Individual,350000
5110,Maruti Swift Dzire VDI,2017,Diesel,Manual,1248 CC,74.02 bhp,190Nm@ 2000rpm,5,28.4 kmpl,34000,Second Owner,Individual,625000
5111,Mahindra XUV500 W6 2WD,2014,Diesel,Manual,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7,15.1 kmpl,120000,First Owner,Individual,525000
5112,Tata Tigor 1.2 Revotron XZ,2018,Petrol,Manual,1199 CC,84 bhp,114Nm@ 3500rpm,5,20.3 kmpl,10000,First Owner,Individual,550000
5113,Mahindra Bolero 2011-2019 SLX,2015,Diesel,Manual,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7,15.96 kmpl,80000,Second Owner,Individual,550000
5114,Honda City 2017-2020 GXi,2006,Petrol,Manual,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5,17.7 kmpl,100000,Second Owner,Individual,200000
5115,Mahindra Xylo D2,2011,Diesel,Manual,2489 CC,95 bhp,220Nm at 1400-2600 rpm,8,13.0 kmpl,120000,First Owner,Individual,350000
5116,Honda City 2017-2020 GXi,2006,Petrol,Manual,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5,17.7 kmpl,100000,Second Owner,Individual,220000
5117,Hyundai Grand i10 Sportz,2016,Petrol,Manual,1197 CC,82 bhp,114Nm@ 4000rpm,5,18.9 kmpl,25000,First Owner,Individual,412000
5118,Maruti Wagon R LXI Minor,2009,Petrol,Manual,1061 CC,67 bhp,84Nm@ 3500rpm,5,18.9 kmpl,,Second Owner,Individual,126000
5119,Maruti Swift Dzire VDI,2013,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,23.4 kmpl,63000,First Owner,Individual,430000
5120,Maruti A-Star Vxi,2009,Petrol,Manual,998 CC,66.1 bhp,90Nm@ 3500rpm,5,19.0 kmpl,90000,Second Owner,Individual,130000
5121,Tata Tiago 1.2 Revotron XM,2017,Petrol,Manual,1199 CC,84 bhp,114Nm@ 3500rpm,5,23.84 kmpl,60000,First Owner,Individual,350000
5122,Maruti Alto LX,2011,Petrol,Manual,796 CC,46.3 bhp,62Nm@ 3000rpm,5,19.7 kmpl,35000,First Owner,Individual,220000
5123,Mahindra Bolero DI,2011,Diesel,Manual,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7,13.6 kmpl,80000,First Owner,Individual,380000
5124,Ford Figo Diesel ZXI,2010,Diesel,Manual,1399 CC,68 bhp,160Nm@ 2000rpm,5,20.0 kmpl,110000,Second Owner,Individual,200000
5125,Toyota Fortuner 4x4 MT,2015,Diesel,Manual,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7,12.55 kmpl,20000,First Owner,Individual,2000000
5126,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,Diesel,Manual,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5,22.77 kmpl,90000,First Owner,Individual,610000
5127,BMW X1 sDrive20i xLine,2016,Petrol,Automatic,1998 CC,189 bhp,280Nm@ 1350-4600rpm,5,15.71 kmpl,30000,Second Owner,Individual,2500000
5128,Maruti Swift Dzire VDI,2017,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,26.59 kmpl,61000,First Owner,Individual,620000
5129,Maruti Omni Limited Edition,2013,Petrol,Manual,796 CC,37 bhp,62Nm@ 2500rpm,8,14.7 kmpl,66000,First Owner,Individual,150000
5130,Datsun GO Plus Anniversary Edition,2018,Petrol,Manual,1198 CC,67 bhp,104Nm@ 4000rpm,7,20.62 kmpl,80000,First Owner,Individual,450000
5131,Hyundai Creta 1.6 CRDi SX Plus,2017,Diesel,Manual,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5,19.67 kmpl,27000,Second Owner,Individual,1150000
5132,Mahindra KUV 100 G80 K8 Dual Tone,2018,Petrol,Manual,1198 CC,82 bhp,115Nm@ 3500-3600rpm,6,18.15 kmpl,60000,First Owner,Individual,500000
5133,Maruti Wagon R VXI BS IV,2011,Petrol,Manual,998 CC,67.1 bhp,90Nm@ 3500rpm,5,18.9 kmpl,139000,First Owner,Individual,246000
5134,Maruti Eeco CNG 5 Seater AC BSIV,2017,CNG,Manual,1196 CC,61.7 bhp,85Nm@ 3000rpm,5,21.94 km/kg,60000,First Owner,Individual,400000
5135,Maruti 800 AC,2008,Petrol,Manual,796 CC,37 bhp,59Nm@ 2500rpm,4,16.1 kmpl,10000,Second Owner,Individual,65000
5136,Ford Ecosport 1.5 Diesel Titanium,2016,Diesel,Manual,1498 CC,98.96 bhp,215Nm@ 1750-2500rpm,5,21.7 kmpl,30000,First Owner,Individual,725000
5137,Hyundai Verna 1.6 SX CRDI (O) AT,2014,Diesel,Automatic,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5,22.32 kmpl,125000,First Owner,Individual,736000
5138,Maruti Swift Dzire VDI,2018,Diesel,Manual,1248 CC,74.02 bhp,190Nm@ 2000rpm,5,28.4 kmpl,45000,First Owner,Individual,700000
5139,Chevrolet Spark 1.0 LT,2011,Petrol,Manual,995 CC,62 bhp,90.3Nm@ 4200rpm,5,18.0 kmpl,30000,First Owner,Individual,150000
5140,Maruti Alto LXi,2010,Petrol,Manual,796 CC,46.3 bhp,62Nm@ 3000rpm,5,19.7 kmpl,80500,Second Owner,Individual,180000
5141,Toyota Etios Liva VXD,2014,Diesel,Manual,1364 CC,67.04 bhp,170Nm@ 1800-2400rpm,5,23.59 kmpl,200000,First Owner,Individual,409999
5142,Mahindra Bolero 2011-2019 SLX,2013,Diesel,Manual,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7,15.96 kmpl,60000,First Owner,Individual,550000
5143,Maruti 800 AC Uniq,2004,Petrol,Manual,796 CC,37 bhp,59Nm@ 2500rpm,4,16.1 kmpl,18000,Second Owner,Individual,50000
5144,Maruti Zen D,2006,Diesel,Manual,1527 CC,58 bhp,789Nm@ 2250rpm,5,20.8 kmpl,110000,Second Owner,Individual,80000
5145,Maruti Alto LX,2005,Petrol,Manual,796 CC,46.3 bhp,62Nm@ 3000rpm,5,19.7 kmpl,90000,Second Owner,Individual,110000
5146,Honda City 2017-2020 GXi,2006,Petrol,Manual,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5,17.7 kmpl,120000,Second Owner,Individual,180000
5147,Maruti Swift Dzire VDI,2017,Diesel,Manual,1248 CC,74.02 bhp,190Nm@ 2000rpm,5,28.4 kmpl,127000,First Owner,Individual,605000
5148,Maruti Ertiga SHVS ZDI Plus,2017,Diesel,Manual,1248 CC,88.5 bhp,200Nm@ 1750rpm,7,24.52 kmpl,70000,First Owner,Individual,800000
5149,Hyundai i20 1.4 CRDi Sportz,2011,Diesel,Manual,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5,23.0 kmpl,116500,First Owner,Individual,350000
5150,Hyundai i20 Sportz 1.2,2012,Petrol,Manual,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5,18.5 kmpl,120000,First Owner,Individual,300000
5151,Hyundai Verna Xi (Petrol),2008,Petrol,Manual,1599 CC,103.2 bhp,"14.9@ 3,000(kgm@ rpm)",5,13.9 kmpl,100000,Fourth & Above Owner,Individual,160000
5152,Ford Figo Diesel Titanium,2011,Diesel,Manual,1399 CC,68 bhp,160Nm@ 2000rpm,5,20.0 kmpl,90000,Second Owner,Individual,225000
5153,Audi Q7 3.0 TDI Quattro,2009,Diesel,Automatic,2967 CC,241.4 bhp,550Nm@ 1750-2750rpm,7,12.07 kmpl,120000,Third Owner,Individual,1025000
5154,Tata Hexa XTA,2017,Diesel,Automatic,2179 CC,153.86 bhp,400Nm@ 1750-2500rpm,7,17.6 kmpl,40000,First Owner,Individual,1300000
5155,Volkswagen Ameo 1.5 TDI Comfortline,2018,Diesel,Manual,1498 CC,108.62 bhp,250Nm@ 1500-3000rpm,5,21.66 kmpl,18000,First Owner,Individual,560000
5156,Maruti Vitara Brezza LDi Option,2017,Diesel,Manual,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,24.3 kmpl,70000,First Owner,Individual,650000
5157,Mahindra XUV500 W7 BSIV,2018,Diesel,Manual,2179 CC,152.87 bhp,360Nm@ 1750-2800rpm,7,15.1 kmpl,29000,First Owner,Individual,1150000
5158,Maruti Baleno Delta 1.2,2016,Petrol,Manual,1197 CC,83.1 bhp,115Nm@ 4000rpm,5,21.4 kmpl,65755,First Owner,Individual,480000
5159,Ford EcoSport 1.5 Diesel Titanium BSIV,2019,Diesel,Manual,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5,23.0 kmpl,2600,First Owner,Individual,960000
5160,Mahindra XUV500 AT W6 2WD,2017,Diesel,Automatic,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7,16.0 kmpl,46000,First Owner,Individual,1050000
5161,Hyundai EON Era Plus,2017,Petrol,Manual,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,21.1 kmpl,15000,Second Owner,Individual,310000
5162,Maruti Swift Dzire VDI,2014,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,23.4 kmpl,60000,First Owner,Individual,500000
5163,Maruti Alto K10 VXI AGS Optional,2017,Petrol,Automatic,998 CC,67.1 bhp,90Nm@ 3500rpm,5,23.95 kmpl,15500,First Owner,Individual,350000
5164,Honda Amaze S i-Dtech,2015,Diesel,Manual,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,25.8 kmpl,120000,First Owner,Individual,365000
5165,Mitsubishi Lancer 2.0 GLd,2008,Diesel,Manual,1998 CC,68 bhp,"12.5@ 3,000(kgm@ rpm)",5,14.8 kmpl,120000,Third Owner,Individual,165000
5166,Tata Spacio Gold-10/6 Str BSII,2007,Diesel,Manual,2956 CC,63 bhp,"18@ 1,600-2,200(kgm@ rpm)",10,14.6 kmpl,120000,Third Owner,Individual,100000
5167,Mahindra Bolero SLX,2007,Diesel,Manual,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7,13.6 kmpl,80000,Second Owner,Individual,240000
5168,Mahindra Marazzo M2 BSIV,2019,Diesel,Manual,1497 CC,121 bhp,300Nm@ 1750-2500rpm,7,17.3 kmpl,40000,First Owner,Individual,925000
5169,Ford Figo Aspire 1.2 Ti-VCT Trend,2018,Petrol,Manual,1196 CC,86.8 bhp,112Nm@ 4000rpm,5,18.16 kmpl,15000,First Owner,Individual,590000
5170,Tata Aria Pride,2013,Diesel,Manual,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7,13.7 kmpl,110000,Second Owner,Individual,525000
5171,Toyota Innova 2.5 G (Diesel) 8 Seater,2014,Diesel,Manual,2494 CC,100.6 bhp,200Nm@ 1400-3400rpm,8,12.99 kmpl,80000,Second Owner,Individual,720000
5172,Renault Duster 110PS Diesel RxL AMT,2017,Diesel,Automatic,1461 CC,108.45 bhp,245Nm@ 1750rpm,5,19.6 kmpl,50000,First Owner,Individual,850000
5173,Mahindra Scorpio VLS AT 2.2 mHAWK,2010,Diesel,Automatic,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8,11.79 kmpl,110000,First Owner,Individual,490000
5174,Honda Amaze S i-Dtech,2013,Diesel,Manual,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,25.8 kmpl,100000,First Owner,Individual,325000
5175,Hyundai Verna CRDi 1.6 AT SX Option,2019,Diesel,Automatic,1582 CC,126.2 bhp,259.87nm@ 1500-3000rpm,5,22.0 kmpl,20000,First Owner,Individual,1200000
5176,Mahindra Bolero 2011-2019 ZLX,2012,Diesel,Manual,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7,15.96 kmpl,135000,First Owner,Individual,450000
5177,Tata Indigo CS LS (TDI) BS-III,2014,Diesel,Manual,1405 CC,69.01 bhp,135Nm@ 2500rpm,5,19.09 kmpl,50700,First Owner,Individual,300000
5178,Volkswagen Polo Diesel Highline 1.2L,2013,Diesel,Manual,1199 CC,73.9 bhp,180Nm@ 2000rpm,5,22.07 kmpl,70000,Second Owner,Individual,365000
5179,Mercedes-Benz New C-Class 200 K AT,2007,Petrol,Automatic,1796 CC,178 bhp,"24.5@ 3,500-4,500(kgm@ rpm)",5,11.7 kmpl,120000,First Owner,Individual,500000
5180,Toyota Innova 2.5 VX (Diesel) 8 Seater,2014,Diesel,Manual,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,8,12.99 kmpl,112000,Second Owner,Individual,900000
5181,Hyundai Grand i10 1.2 CRDi Sportz,2018,Diesel,Manual,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5,24.0 kmpl,35000,First Owner,Individual,700000
5182,Renault Duster 110PS Diesel RxZ,2017,Diesel,Manual,1461 CC,108.45 bhp,245Nm@ 1750rpm,5,19.6 kmpl,50000,First Owner,Individual,880000
5183,Toyota Innova 2.5 GX (Diesel) 7 Seater,2014,Diesel,Manual,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7,12.99 kmpl,121000,Third Owner,Individual,700000
5184,Mahindra Scorpio 2009-2014 SLE 7S BSIII,2009,Diesel,Manual,2179 CC,120 bhp,290Nm@ 1800-2800rpm,7,12.05 kmpl,120000,Second Owner,Individual,380000
5185,Toyota Corolla H2,2006,Petrol,Manual,1794 CC,125 bhp,"16.1@ 4,200(kgm@ rpm)",5,13.4 kmpl,90000,Third Owner,Individual,150000
5186,Maruti Zen Estilo LXI Green (CNG),2014,CNG,Manual,998 CC,67.1 bhp,90Nm@ 3500rpm,5,26.3 km/kg,70000,Second Owner,Individual,235000
5187,Renault KWID 1.0 RXT Optional,2018,Petrol,Manual,999 CC,67 bhp,91Nm@ 4250rpm,5,23.01 kmpl,20000,First Owner,Individual,320000
5188,Renault Duster 85PS Diesel RxL,2015,Diesel,Manual,1461 CC,83.8 bhp,200Nm@ 1900rpm,5,20.45 kmpl,60000,First Owner,Individual,550000
5189,BMW 5 Series 520d Luxury Line,2016,Diesel,Automatic,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,18.12 kmpl,40000,First Owner,Individual,3200000
5190,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,Diesel,Manual,2494 CC,100.6 bhp,200Nm@ 1400-3400rpm,7,12.99 kmpl,440000,Second Owner,Individual,750000
5191,Mahindra TUV 300 T6 Plus,2017,Diesel,Manual,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7,18.49 kmpl,60000,First Owner,Individual,645000
5192,Maruti Wagon R VXI BS IV,2015,Petrol,Manual,998 CC,67.04 bhp,90Nm@ 3500rpm,5,20.51 kmpl,110000,First Owner,Individual,300000
5193,Hyundai i20 Active 1.4,2016,Diesel,Manual,1396 CC,88.73 bhp,219.66nm@ 1500-2750rpm,5,21.19 kmpl,152000,First Owner,Individual,580000
5194,Hyundai i20 1.2 Asta,2011,Petrol,Manual,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5,17.0 kmpl,220000,Fourth & Above Owner,Individual,220000
5195,Mahindra Bolero 2011-2019 ZLX BSIII,2013,Diesel,Manual,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7,15.96 kmpl,70000,First Owner,Individual,451000
5196,Tata Nexon 1.2 Revotron XZ Plus,2018,Petrol,Manual,1198 CC,108.5 bhp,170Nm@ 1750-4000rpm,5,17.0 kmpl,50000,First Owner,Individual,850000
5197,Maruti Swift Dzire VDi,2011,Diesel,Manual,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,19.3 kmpl,125000,First Owner,Individual,300000
5198,Ford Figo 1.2P Trend MT,2016,Petrol,Manual,1196 CC,86.8 bhp,112Nm@ 4000rpm,5,18.16 kmpl,60000,First Owner,Individual,350000
5199,Maruti Eeco CNG HTR 5-STR,2014,CNG,Manual,1196 CC,63 bhp,83Nm@ 3000rpm,5,21.94 km/kg,90000,First Owner,Individual,300000
5200,Maruti Eeco CNG HTR 5-STR,2017,CNG,Manual,1196 CC,63 bhp,83Nm@ 3000rpm,5,21.94 km/kg,30000,First Owner,Individual,390000
5201,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,Diesel,Manual,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,8,12.99 kmpl,90000,First Owner,Individual,1200000
5202,Volkswagen Ameo 1.2 MPI Comfortline,2017,Petrol,Manual,1198 CC,73.75 bhp,110Nm@ 3750rpm,5,17.0 kmpl,20000,First Owner,Individual,550000
5203,Maruti Swift VDI,2012,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,22.9 kmpl,110000,Third Owner,Individual,300000
5204,Volkswagen Vento Diesel Highline,2012,Diesel,Manual,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5,20.54 kmpl,150000,Second Owner,Individual,300000
5205,Hyundai i20 1.4 CRDi Sportz,2012,Diesel,Manual,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5,23.0 kmpl,110000,First Owner,Individual,350000
5206,Hyundai Creta 1.6 CRDi SX Option,2015,Diesel,Manual,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5,19.67 kmpl,120000,Second Owner,Individual,880000
5207,Hyundai Accent Executive CNG,2010,CNG,Manual,1495 CC,93.7 bhp,124.5Nm@ 3500rpm,5,13.2 km/kg,120000,Second Owner,Individual,160000
5208,Tata Sumo GX,2012,Diesel,Manual,2956 CC,83.8 bhp,250Nm@ 1000-2000rpm,7,15.3 kmpl,80000,Fourth & Above Owner,Individual,250000
5209,Hyundai i20 Active 1.4 SX,2016,Diesel,Manual,1396 CC,88.73 bhp,220Nm@ 1500-2750rpm,5,21.19 kmpl,110000,First Owner,Individual,660000
5210,Tata Zest Revotron 1.2T XMS,2015,Petrol,Manual,1193 CC,88.7 bhp,140Nm@ 1500-4000rpm,5,17.57 kmpl,40000,First Owner,Individual,450000
5211,Volkswagen Polo GT TDI,2012,Diesel,Manual,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5,19.7 kmpl,110000,Second Owner,Individual,400000
5212,Mahindra Scorpio S7 120,2019,Diesel,Manual,2179 CC,120 bhp,280Nm@ 1800-2800rpm,7,16.36 kmpl,20000,First Owner,Individual,1300000
5213,Ford Figo Diesel Celebration Edition,2013,Diesel,Manual,1399 CC,68.1 bhp,160Nm@ 2000rpm,5,20.0 kmpl,230000,First Owner,Individual,229999
5214,Chevrolet Beat LT,2010,Petrol,Manual,1199 CC,79.4 bhp,108Nm@ 4400rpm,5,18.6 kmpl,60000,First Owner,Individual,140000
5215,Maruti Zen Estilo LXI BS IV,2012,Petrol,Manual,998 CC,67.1 bhp,90Nm@ 3500rpm,5,19.0 kmpl,35000,Second Owner,Individual,195000
5216,Hyundai i20 Active Base Petrol,2015,Petrol,Manual,1197 CC,81.86 bhp,114.73Nm@ 4000rpm,5,17.19 kmpl,45000,First Owner,Individual,500000
5217,Tata Nano Cx BSIII,2012,Petrol,Manual,624 CC,38 bhp,51Nm@ 4000+/-500rpm,4,25.4 kmpl,45000,First Owner,Individual,60000
5218,Tata Zest Revotron 1.2T XM,2016,Petrol,Manual,1193 CC,88.7 bhp,140Nm@ 1500-4000rpm,5,17.57 kmpl,25000,First Owner,Individual,400000
5219,Hyundai i20 Magna 1.2,2014,Petrol,Manual,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,18.6 kmpl,10000,First Owner,Individual,400000
5220,Maruti Wagon R VXI Optional,2018,Petrol,Manual,998 CC,67.04 bhp,90Nm@ 3500rpm,5,20.51 kmpl,19000,First Owner,Individual,380000
5221,Maruti Baleno Delta 1.2,2019,Petrol,Manual,1197 CC,83.1 bhp,115Nm@ 4000rpm,5,21.4 kmpl,10000,First Owner,Individual,579000
5222,Mahindra KUV 100 G80 K2,2019,Petrol,Manual,1198 CC,82 bhp,115Nm@ 3500-3600rpm,6,18.15 kmpl,25000,First Owner,Individual,400000
5223,Hyundai i10 Magna 1.2 iTech SE,2012,Petrol,Manual,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5,20.36 kmpl,30000,First Owner,Individual,270000
5224,Mahindra Bolero 2011-2019 SLX 2WD BSIII,2014,Diesel,Manual,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7,15.96 kmpl,90000,First Owner,Individual,500000
5225,Tata Tiago 1.2 Revotron XT,2017,Petrol,Manual,1199 CC,84 bhp,114Nm@ 3500rpm,5,23.84 kmpl,20000,First Owner,Individual,475000
5226,Nissan Terrano XL D Option,2018,Diesel,Manual,1461 CC,83.14 bhp,200Nm@ 1750rpm,5,19.87 kmpl,48000,First Owner,Individual,850000
5227,Mahindra Scorpio 2006-2009 VLX 2WD 7 Str BSIII,2009,Diesel,Manual,2179 CC,120 bhp,290Nm@ 1800-2800rpm,7,12.05 kmpl,120000,First Owner,Individual,475000
5228,Maruti Swift Dzire Ldi BSIV,2012,Diesel,Manual,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,19.3 kmpl,210000,Second Owner,Individual,370000
5229,Hyundai i10 Magna 1.1L,2010,Petrol,Manual,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5,19.81 kmpl,200400,Second Owner,Individual,187000
5230,Hyundai i10 Magna,2008,Petrol,Manual,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5,20.36 kmpl,110000,Second Owner,Individual,195000
5231,Tata Safari DICOR 2.2 LX 4x2,2014,Diesel,Manual,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7,13.93 kmpl,38000,First Owner,Individual,459999
